n_nodes,n_edges,total_edge_length,edge_density_km_per_sqkm,street_density_km_per_sqkm,avg_street_length,circuity_avg,status,lsoa_code,lsoa_name,area_sqkm,road_density
4,6,632.8269515069277,5389.08123481668,4471.996469297204,131.28396889490207,1.323323363948583,success,E01000876,Camden 013B,0.11742761408354509,0.0053890812348166795
17,32,2714.02016187971,24149.194688058018,13496.824559771287,84.26932484991514,1.001605947384217,success,E01000877,Camden 005E,0.11238553487755913,0.02414919468805802
12,23,2257.0857978953186,12052.082226850602,6977.088941800482,100.51176261352344,1.0968708173746957,success,E01000878,Camden 004A,0.18727766334574125,0.012052082226850601
6,10,1011.3125698169486,5624.221782187017,2812.1108910935086,101.13125698169486,1.0011745274748904,success,E01000879,Camden 004B,0.1798137785070938,0.005624221782187017
14,27,2673.934660207467,13262.820856161632,6850.872148132491,92.08088630220733,1.0559751878083088,success,E01000880,Camden 004C,0.20161130797187932,0.013262820856161633
10,16,977.381573278662,6644.1196700212195,3797.1189775923062,55.857424377691565,1.013401111745739,success,E01000881,Camden 008A,0.1471047515427338,0.0066441196700212195
12,24,2558.272697792636,21286.46138543956,10643.230692719779,106.59469574135981,1.0364863132693405,success,E01000882,Camden 008B,0.12018308968641235,0.02128646138543956
3,2,278.10656620393996,1989.1059101759768,1989.1059101759768,139.05328310196998,1.000254193834242,success,E01000883,Camden 008C,0.1398148609288159,0.001989105910175977
9,20,2582.648683046014,10501.041825749535,5250.5209128747665,129.13243415230068,1.0447013075287073,success,E01000884,Camden 004D,0.2459421384945938,0.010501041825749534
29,56,6159.369819044038,19845.929705664683,9922.964852832343,109.98874676864355,1.091043606963766,success,E01000885,Camden 004E,0.3103593487628826,0.019845929705664685
11,23,2277.7298714320304,22823.251297678788,11488.355261761018,95.5435373486779,1.0100744503408112,success,E01000886,Camden 006A,0.0997986589081497,0.022823251297678787
16,30,2411.028069694513,24655.13894333264,15484.855668312211,75.71326561427689,1.015365330501414,success,E01000887,Camden 006B,0.09779008243417402,0.024655138943332638
10,16,608.4264873159237,6445.984070711776,4499.092309747511,35.38853157900501,1.0090157229833543,success,E01000888,Camden 006C,0.09438845654000201,0.006445984070711777
14,27,1997.9944742115936,17505.631441318634,9510.56554618018,77.53446765970614,1.2083332281783967,success,E01000889,Camden 007A,0.11413438474979638,0.01750563144131863
6,10,1009.333778570674,13346.338819622182,6673.16940981109,100.93337785706738,1.201205108488753,success,E01000890,Camden 007B,0.07562626666473667,0.013346338819622182
