lsoa_code,population_density
E01001890,13134.1
E01001892,18706
E01001880,11577.3
E01001881,16587.1
E01001882,20862.9
E01001883,14137.7
E01001884,22304.8
E01001888,15826.5
E01001891,14620.7
E01001917,13791.5
E01001918,14463.6
E01001919,10826.9
E01001879,18047.3
E01001901,19538.5
E01001902,22823.7
E01001903,13019
E01001920,8792.5
E01001921,14776
E01001922,8516.8
E01001923,13401.1
E01001924,15701.2
E01001947,25716.9
E01001948,16301.1
E01001949,18320.9
E01001950,13784.8
E01001951,14751.7
E01001953,15850.5
E01001904,11460
E01001905,19346.6
E01001906,23248
E01001907,18667.7
E01001935,18887.9
E01032788,13675.6
E01032789,40066.7
E01032790,14468.6
E01001915,3416.4
E01001916,3385
E01001926,14966.9
E01001952,16979.4
E01001925,11078.2
E01001934,10786.6
E01001937,9212.2
E01001938,14756.6
E01002755,13445.5
E01002756,11396.4
E01002758,14551.6
E01002804,13978.2
E01002807,18492.4
E01002811,17071.5
E01002753,17857.1
E01002754,12583.3
E01002757,15923.1
E01002759,14135.3
E01002760,19140
E01002772,18177.4
E01002735,27287.8
E01002805,11195.3
E01002806,14735.9
E01002808,14580.8
E01002809,19100.1
E01002810,21162.2
E01002768,15535.2
E01002770,8768.4
E01002771,12898.9
E01002773,17046.6
E01002774,11989.9
E01002732,13326
E01002734,20084.9
E01002736,20177.6
E01002737,25318.6
E01002751,23764.6
E01002742,18709.1
E01002747,15160.7
E01002748,11705.6
E01002749,18317.3
E01033493,36270.7
E01033494,14390.2
E01002730,12432.6
E01002733,16231.7
E01002763,13191.5
E01002769,8637.8
E01002785,13089.4
E01002788,14861.3
E01002789,13814.5
E01002738,7339.3
E01002741,14407.9
E01002743,15689.3
E01002744,13262.6
E01002752,17971.2
E01002764,13695.3
E01002783,17286.6
E01002784,13562.6
E01002786,17821.7
E01002787,13264.2
E01002762,11700
E01002767,18099.2
E01033486,15540.5
E01033487,49139.3
E01033488,16351.9
E01033491,10304.3
E01002777,14220.3
E01002778,18476.2
E01002779,15840.9
E01002781,19078.9
E01002782,16254.3
E01002739,15677.7
E01002740,10184.7
E01002745,13233.4
E01002795,10975.1
E01002796,14217.9
E01002716,17291.5
E01002718,15897.2
E01002721,13490.1
E01002775,11891.9
E01002776,16039.7
E01002780,21506.3
E01002708,6270.4
E01002712,11993
E01002713,19636.9
E01002765,16717.4
E01002766,15947.3
E01002717,9710.4
E01002719,10219.3
E01002720,20916.3
E01002790,17896.1
E01002791,12995.8
E01002793,17307.7
E01002698,18537.7
E01002699,16229.5
E01002700,7652.9
E01002714,13452.8
