lsoa_code,building_density
E01002796,36.13335787
E01002716,25.6054888
E01002718,28.40819729
E01002721,20.04436248
E01002775,18.07844435
E01002776,25.08465723
E01002780,27.97352052
E01002708,28.69200679
E01002712,28.86229148
E01002713,33.17856296
E01002765,32.08887075
E01002766,23.15783073
E01002717,19.0065855
E01002719,22.25240608
E01002720,24.07213411
E01002790,32.53860089
E01002791,32.41764542
E01002793,30.89865791
E01002698,30.1581897
E01002699,35.02548107
E01002700,22.43332318
E01002714,30.26175346
E01002792,37.56606357
E01002722,24.79381369
E01002797,34.11365914
E01002798,29.01350551
E01002799,31.88371688
E01002800,38.3165668
E01002694,20.89890642
E01002697,31.07571635
E01002709,29.19827098
E01002710,31.25044608
E01002715,30.58840447
E01002696,38.39990619
E01002794,43.33763805
E01002801,38.41709086
E01002802,31.99297173
E01002695,38.72405066
E01002711,42.1853404
E01002727,29.913219
E01002728,30.46930527
E01002729,28.66537976
E01002707,43.10172596
E01002723,43.63057626
E01002724,45.1107605
E01002725,35.17953421
E01002726,33.02431899
E01033489,51.80437124
E01033490,50.70150398
E01002701,45.31995308
E01002702,30.69855136
E01002703,33.26196496
E01002704,44.15709965
E01002706,31.06503301
E01002852,49.29261129
E01002853,31.02120292
E01002854,14.72441078
E01002855,35.83437594
E01002857,27.30026869
E01002904,12.90036379
E01002905,42.40219613
E01002906,31.409964
E01002907,26.40070175
E01002876,33.6290473
E01002877,23.56105957
E01002878,20.72586223
E01002908,29.99796919
E01002909,29.21457466
E01002829,37.96112496
E01002830,31.65140702
E01002831,38.15052604
E01002832,37.4346944
E01002856,26.86011395
E01002870,34.74337822
E01002872,32.22333685
E01002879,30.90234585
E01002880,28.25773386
E01002881,32.68148891
E01002882,21.18868997
E01002883,36.26655122
E01002884,33.62598792
E01002885,42.5287043
E01002886,35.96503246
E01002833,35.95044389
E01002871,32.99306391
E01002873,28.11179171
E01002874,24.6208048
E01002875,21.9123623
E01002824,22.43351231
E01002825,40.37742531
E01002826,27.13934836
E01002827,26.9899052
E01002828,35.86461978
E01002864,14.41454285
E01002866,23.73169246
E01002867,26.93287696
E01002868,20.08699668
E01002869,30.36206002
E01002887,38.48388388
E01002889,48.85091153
E01002890,42.48425025
E01002891,42.51606335
E01002892,51.01770879
E01002813,37.48461068
E01002815,30.6639112
E01002816,45.53144933
E01002817,32.90728704
E01002865,31.72582871
E01002818,42.57210366
E01002819,40.37156881
E01002859,45.0239359
E01002860,45.83473109
E01002863,40.89327898
E01002812,35.68780035
E01002834,43.97560261
E01002839,37.92067176
E01002850,42.48046105
E01002888,41.38893983
E01002821,38.2938656
E01002823,30.58724089
E01002858,41.87340924
E01002861,44.64444308
E01002862,28.55482559
E01002814,31.80338908
E01002847,26.64522152
E01002848,21.90867939
E01002851,31.63484037
E01002835,34.04946367
E01002836,35.4313748
E01002837,43.65424001
E01002846,16.94359082
E01002849,34.23758716
E01002893,58.45712351
E01002894,58.73677239
E01002898,32.58673575
E01002899,45.54036812
E01002900,28.70884553
E01002901,10.46487663
E01002902,33.61809407
E01002903,44.71907505
E01002844,36.87449563
E01002845,34.66875494
E01002910,32.67711335
E01002911,38.5781913
E01002914,46.96979064
E01002896,36.31865036
E01002897,74.93208379
E01002912,48.15739262
E01002840,28.25532586
E01002841,31.35553443
E01002842,30.99953356
E01002843,32.86440416
E01002913,34.76635937
E01003015,26.02873639
E01003108,27.69222754
E01003110,34.99777685
E01003111,22.51077677
E01003112,28.06145737
E01003101,28.86300884
E01003105,28.58485498
E01003106,33.19415512
E01003107,35.65927647
E01003102,37.41260244
E01003104,34.50834194
E01003122,29.97729591
E01003129,34.01141777
E01033208,30.07678387
E01003098,29.49479194
E01003099,12.67509378
E01003100,39.23421134
E01003180,26.18249363
E01003183,29.5528294
E01003097,30.7297881
E01003121,19.32914067
E01003123,27.70869729
E01003124,22.14746561
E01003125,19.10218533
E01003181,32.05621106
E01003184,23.53271417
