lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd
E01001917,0,NA,NA,NA,NA,NA
E01001918,0,NA,NA,NA,NA,NA
E01001919,0,NA,NA,NA,NA,NA
E01001920,0,NA,NA,NA,NA,NA
E01001921,0,NA,NA,NA,NA,NA
E01001922,0,NA,NA,NA,NA,NA
E01001923,0,NA,NA,NA,NA,NA
E01001924,0,NA,NA,NA,NA,NA
E01001925,0,NA,NA,NA,NA,NA
E01001926,0,NA,NA,NA,NA,NA
E01001927,0,NA,NA,NA,NA,NA
E01001928,0,NA,NA,NA,NA,NA
E01001929,0,NA,NA,NA,NA,NA
E01001930,0,NA,NA,NA,NA,NA
E01001931,0,NA,NA,NA,NA,NA
E01001932,0,NA,NA,NA,NA,NA
E01001933,0,NA,NA,NA,NA,NA
E01001934,0,NA,NA,NA,NA,NA
E01001935,0,NA,NA,NA,NA,NA
E01001937,0,NA,NA,NA,NA,NA
E01001938,0,NA,NA,NA,NA,NA
E01001939,0,NA,NA,NA,NA,NA
E01001940,0,NA,NA,NA,NA,NA
E01001941,0,NA,NA,NA,NA,NA
E01001942,0,NA,NA,NA,NA,NA
E01001943,0,NA,NA,NA,NA,NA
E01001944,0,NA,NA,NA,NA,NA
E01001945,0,NA,NA,NA,NA,NA
E01001946,0,NA,NA,NA,NA,NA
E01001947,0,NA,NA,NA,NA,NA
E01001948,0,NA,NA,NA,NA,NA
E01001949,0,NA,NA,NA,NA,NA
E01001950,0,NA,NA,NA,NA,NA
E01001951,0,NA,NA,NA,NA,NA
E01001952,0,NA,NA,NA,NA,NA
E01001953,0,NA,NA,NA,NA,NA
E01001954,0,NA,NA,NA,NA,NA
E01001955,0,NA,NA,NA,NA,NA
E01001956,0,NA,NA,NA,NA,NA
E01001957,0,NA,NA,NA,NA,NA
E01001958,0,NA,NA,NA,NA,NA
E01001959,0,NA,NA,NA,NA,NA
E01001960,0,NA,NA,NA,NA,NA
E01001961,0,NA,NA,NA,NA,NA
E01002694,0,NA,NA,NA,NA,NA
E01002695,0,NA,NA,NA,NA,NA
E01002696,0,NA,NA,NA,NA,NA
E01002697,0,NA,NA,NA,NA,NA
E01002698,0,NA,NA,NA,NA,NA
E01002699,0,NA,NA,NA,NA,NA
E01002700,0,NA,NA,NA,NA,NA
E01002701,0,NA,NA,NA,NA,NA
E01002702,0,NA,NA,NA,NA,NA
E01002703,0,NA,NA,NA,NA,NA
E01002704,0,NA,NA,NA,NA,NA
E01002706,0,NA,NA,NA,NA,NA
E01002707,0,NA,NA,NA,NA,NA
E01002708,0,NA,NA,NA,NA,NA
E01002709,0,NA,NA,NA,NA,NA
E01002710,0,NA,NA,NA,NA,NA
E01002711,0,NA,NA,NA,NA,NA
E01002712,0,NA,NA,NA,NA,NA
E01002713,0,NA,NA,NA,NA,NA
E01002714,0,NA,NA,NA,NA,NA
E01002715,0,NA,NA,NA,NA,NA
E01002716,0,NA,NA,NA,NA,NA
E01002717,0,NA,NA,NA,NA,NA
E01002718,0,NA,NA,NA,NA,NA
E01002719,0,NA,NA,NA,NA,NA
E01002720,0,NA,NA,NA,NA,NA
E01002721,0,NA,NA,NA,NA,NA
E01002722,0,NA,NA,NA,NA,NA
E01002723,0,NA,NA,NA,NA,NA
E01002724,0,NA,NA,NA,NA,NA
E01002725,0,NA,NA,NA,NA,NA
E01002726,0,NA,NA,NA,NA,NA
E01002727,0,NA,NA,NA,NA,NA
E01002728,0,NA,NA,NA,NA,NA
E01002729,0,NA,NA,NA,NA,NA
E01002730,0,NA,NA,NA,NA,NA
E01002731,0,NA,NA,NA,NA,NA
E01002732,0,NA,NA,NA,NA,NA
E01002733,0,NA,NA,NA,NA,NA
E01002734,0,NA,NA,NA,NA,NA
E01002735,0,NA,NA,NA,NA,NA
E01002736,0,NA,NA,NA,NA,NA
E01002737,0,NA,NA,NA,NA,NA
E01002738,0,NA,NA,NA,NA,NA
E01002739,0,NA,NA,NA,NA,NA
E01002740,0,NA,NA,NA,NA,NA
E01002741,0,NA,NA,NA,NA,NA
E01002742,0,NA,NA,NA,NA,NA
E01002743,0,NA,NA,NA,NA,NA
E01002744,0,NA,NA,NA,NA,NA
E01002745,0,NA,NA,NA,NA,NA
E01002747,0,NA,NA,NA,NA,NA
E01002748,0,NA,NA,NA,NA,NA
E01002749,0,NA,NA,NA,NA,NA
E01002751,0,NA,NA,NA,NA,NA
E01002752,0,NA,NA,NA,NA,NA
E01002753,0,NA,NA,NA,NA,NA
E01002754,0,NA,NA,NA,NA,NA
E01002755,0,NA,NA,NA,NA,NA
E01002756,0,NA,NA,NA,NA,NA
E01002757,0,NA,NA,NA,NA,NA
E01002758,0,NA,NA,NA,NA,NA
E01002759,0,NA,NA,NA,NA,NA
E01002760,0,NA,NA,NA,NA,NA
E01002762,0,NA,NA,NA,NA,NA
E01002763,0,NA,NA,NA,NA,NA
E01002764,0,NA,NA,NA,NA,NA
E01002765,0,NA,NA,NA,NA,NA
E01002766,0,NA,NA,NA,NA,NA
E01002767,0,NA,NA,NA,NA,NA
E01002768,0,NA,NA,NA,NA,NA
E01002769,0,NA,NA,NA,NA,NA
E01002770,0,NA,NA,NA,NA,NA
E01002771,0,NA,NA,NA,NA,NA
E01002772,0,NA,NA,NA,NA,NA
E01002773,0,NA,NA,NA,NA,NA
E01002774,0,NA,NA,NA,NA,NA
E01002775,0,NA,NA,NA,NA,NA
E01002776,0,NA,NA,NA,NA,NA
E01002777,0,NA,NA,NA,NA,NA
E01002778,0,NA,NA,NA,NA,NA
E01002779,0,NA,NA,NA,NA,NA
E01002780,0,NA,NA,NA,NA,NA
E01002781,0,NA,NA,NA,NA,NA
E01002782,0,NA,NA,NA,NA,NA
E01002783,0,NA,NA,NA,NA,NA
E01002784,0,NA,NA,NA,NA,NA
E01002785,0,NA,NA,NA,NA,NA
E01002786,0,NA,NA,NA,NA,NA
E01002787,0,NA,NA,NA,NA,NA
E01002788,0,NA,NA,NA,NA,NA
E01002789,0,NA,NA,NA,NA,NA
E01002790,0,NA,NA,NA,NA,NA
E01002791,0,NA,NA,NA,NA,NA
E01002792,0,NA,NA,NA,NA,NA
E01002793,0,NA,NA,NA,NA,NA
E01002794,0,NA,NA,NA,NA,NA
E01002795,0,NA,NA,NA,NA,NA
E01002796,0,NA,NA,NA,NA,NA
E01002797,0,NA,NA,NA,NA,NA
E01002798,0,NA,NA,NA,NA,NA
E01002799,0,NA,NA,NA,NA,NA
E01002800,0,NA,NA,NA,NA,NA
E01002801,0,NA,NA,NA,NA,NA
E01002802,0,NA,NA,NA,NA,NA
E01002803,0,NA,NA,NA,NA,NA
E01002804,0,NA,NA,NA,NA,NA
E01002805,0,NA,NA,NA,NA,NA
E01002806,0,NA,NA,NA,NA,NA
E01002807,0,NA,NA,NA,NA,NA
E01002808,0,NA,NA,NA,NA,NA
E01002809,0,NA,NA,NA,NA,NA
E01002810,0,NA,NA,NA,NA,NA
E01002811,0,NA,NA,NA,NA,NA
E01002812,0,NA,NA,NA,NA,NA
E01002813,0,NA,NA,NA,NA,NA
E01002814,0,NA,NA,NA,NA,NA
E01002815,0,NA,NA,NA,NA,NA
E01002816,0,NA,NA,NA,NA,NA
E01002817,0,NA,NA,NA,NA,NA
E01002818,0,NA,NA,NA,NA,NA
E01002819,0,NA,NA,NA,NA,NA
E01002820,0,NA,NA,NA,NA,NA
E01002821,0,NA,NA,NA,NA,NA
E01002822,0,NA,NA,NA,NA,NA
E01002823,0,NA,NA,NA,NA,NA
E01002824,0,NA,NA,NA,NA,NA
E01002825,0,NA,NA,NA,NA,NA
