lsoa_code,road_density_km_per_sqkm,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01000912,0.9472098488189,0.0009472098488189,473.6049244094836,947.2098488189672,7.0,12.0,855.0268734199532,71.25223945166277,1.0026078332548365,success
E01000913,5.398692333092,0.005398692333092,2971.418559003379,5398.692333092058,31.0,69.0,8687.432497287744,129.23048447631436,1.0407511822375084,success
E01000914,19.3916091858423,0.0193916091858423,12623.7159512846,19391.609185842317,74.0,138.0,8692.835954661377,62.186119287550085,1.0749061104766946,success
E01000915,2.5480833579414996,0.0025480833579415,2039.2487611086424,2548.0833579415817,4.0,4.0,188.578316133266,50.30684420745353,1.002693245910921,success
E01000916,26.810731451718798,0.0268107314517188,17258.351245986327,26810.73145171884,35.0,65.0,3959.635980940799,62.1673057901877,1.0187080970638782,success
E01000917,7.8314637033786,0.0078314637033786,3915.7318516893056,7831.463703378613,4.0,6.0,585.7057993940633,97.61763323234386,1.0005498731843376,success
E01000918,30.6452294472347,0.0306452294472347,21900.531517438547,30645.229447234746,49.0,86.0,5104.739393584654,58.84013543951073,1.0251721161585938,success
E01000919,28.1323483548651,0.0281323483548651,22169.109483814744,28132.348354865157,44.0,73.0,4218.006992099926,59.35557684077185,1.128449873044313,success
E01000920,23.0422450662769,0.0230422450662769,12646.40341958119,23042.245066276915,23.0,44.0,3134.4923907923508,68.81283516523678,1.0061608096951302,success
E01000921,14.326974688871701,0.0143269746888717,7163.4873444358645,14326.97468887173,13.0,24.0,1774.9147429961265,73.95478095817192,1.0227328862434275,success
E01000922,6.7094658159675,0.0067094658159675,3523.909131111242,6709.465815967525,15.0,26.0,1276.0432260912846,44.679765368844976,1.007144818237207,success
E01000923,19.5166852733532,0.0195166852733532,11375.515336071418,19516.685273353225,14.0,24.0,1667.4052560104217,69.41896783455525,1.0007900701927863,success
E01000924,9.439351926297,0.009439351926297,4719.675963148527,9439.351926297057,8.0,14.0,916.174971399538,65.44106938568129,1.0012569118886814,success
E01000925,11.267044173949701,0.0112670441739497,5633.522086974897,11267.044173949793,6.0,12.0,940.7886235293043,78.39905196077537,1.493923305654096,success
E01000926,5.2397740348321,0.0052397740348321,5239.774034832142,5239.774034832141,8.0,7.0,480.65372151918615,68.66481735988374,1.004160948240967,success
E01000927,27.1561169949948,0.0271561169949948,13578.058497497435,27156.11699499488,18.0,36.0,2782.412869793295,77.28924638314707,1.02252424949215,success
E01000928,12.1907822050766,0.0121907822050766,6095.391102538336,12190.782205076672,14.0,30.0,3111.5869336122078,103.71956445374023,1.0728305945191432,success
E01000929,6.1982892212603,0.0061982892212603,3099.1446106301573,6198.289221260315,4.0,6.0,598.5560910336369,99.75934850560616,1.134782438846494,success
E01000930,24.8893708649894,0.0248893708649894,13744.487504250714,24889.370864989414,27.0,51.0,2911.0104487129497,53.58424814366424,1.044817780068113,success
E01000931,9.1552838081834,0.0091552838081834,5928.851255422698,9155.283808183403,12.0,21.0,1342.4467956847016,72.4460280413805,1.0888832159652884,success
E01000932,8.4277164400042,0.0084277164400042,4928.461239827547,8427.716440004207,6.0,9.0,562.9481484637347,65.84151589549244,1.0001448573671134,success
E01000933,19.7621436565192,0.0197621436565192,9881.071828259628,19762.143656519256,13.0,24.0,2131.1065427472554,88.7961059478023,1.0255993833453745,success
E01000934,1.0371523272162,0.0010371523272162,1037.152327216221,1037.152327216221,5.0,5.0,91.77884761466098,18.3557695229322,1.0120473728822903,success
E01000935,51.4880131224281,0.0514880131224281,25744.00656121404,51488.0131224281,40.0,94.0,3240.665020518484,34.475159792749814,1.097420226182598,success
E01000936,25.202716735960898,0.0252027167359609,13301.89137517968,25202.716735960978,17.0,32.0,2213.4052669052285,64.9014609066009,1.0441344898005624,success
E01000937,7.505262053933,0.007505262053933,3752.6310269665023,7505.262053933004,8.0,14.0,952.5989124773644,68.0427794626689,1.011616763642631,success
E01000938,6.6015921093377,0.0066015921093377,5751.336177487282,6601.592109337783,12.0,14.0,534.554500271572,42.33693086773945,1.012768116291014,success
E01000939,19.0572029865255,0.0190572029865255,14581.532976352317,19057.202986525568,16.0,20.0,1467.8016319542248,66.06363549787498,1.0078266184169435,success
E01000940,13.9002686568694,0.0139002686568694,7373.537053526586,13900.268656869415,10.0,17.0,682.9587988245407,36.22823510447831,1.007045740250816,success
E01000941,18.1820226116693,0.0181820226116693,9091.011305834656,18182.022611669312,6.0,10.0,822.9229709759377,82.29229709759377,1.0852253324544068,success
E01000942,19.896457345171402,0.0198964573451714,11032.893184450404,19896.45734517143,18.0,31.0,1455.5796771941775,44.84119074102824,1.0074479573748685,success
E01000943,12.8979452170834,0.0128979452170834,6448.972608541734,12897.945217083468,7.0,12.0,902.0988836181192,75.17490696817661,1.019634146041252,success
E01000944,78.66784373517217,0.07866784373517217,39333.92186758609,78667.84373517218,51.0,132.0,4528.738453757922,34.30862464968123,1.095140407826236,success
E01000945,5.7519553032927,0.0057519553032927,2881.1105391734814,5751.955303292757,13.0,23.0,1561.329339574596,65.17149644739088,1.0238660740799497,success
E01000946,4.7409067841184,0.0047409067841184,2756.0742901923904,4740.906784118422,16.0,32.0,2289.0190243971333,70.03664033702051,1.215440785726578,success
E01000947,17.9456964638957,0.0179456964638957,11978.178049157104,17945.696463895714,24.0,33.0,2805.2272784512106,78.01664286950972,1.026088949245081,success
E01000948,6.4220548138814,0.0064220548138814,3211.027406940708,6422.054813881416,12.0,24.0,1279.1860276140812,53.299417817253385,1.20390517889507,success
E01000949,9.5920283749253,0.0095920283749253,4796.014187462699,9592.028374925396,5.0,8.0,587.4540715594839,73.4317589449355,1.0004927738590548,success
E01000950,14.4362642888937,0.0144362642888937,7218.132144446858,14436.264288893715,6.0,12.0,980.7896793411416,81.73247327842847,1.0004166613059462,success
E01000951,13.0314058458953,0.0130314058458953,6515.702922947692,13031.405845895384,4.0,6.0,641.4189494051158,106.90315823418597,1.1724345959620197,success
E01000952,9.0080300618691,0.0090080300618691,4504.015030934593,9008.030061869184,5.0,8.0,768.257500061191,96.03218750764889,1.028208254379358,success
E01000953,4.6764900707859995,0.004676490070786,2659.590304634924,4676.490070786028,18.0,33.0,2813.9193549297465,88.90657215508423,1.0241246205680608,success
E01000954,1.4604423655381,0.0014604423655381,1460.4423655381431,1460.4423655381431,2.0,1.0,78.73180417633347,78.73180417633347,1.006308561913957,success
E01000955,9.3855102405025,0.0093855102405025,4692.755120251275,9385.51024050255,5.0,10.0,593.9940045555852,59.39940045555852,1.000107922814228,success
E01000956,3.131883716196,0.003131883716196,2901.584990818042,3131.883716196098,9.0,12.0,501.4083536186582,51.61533175020308,1.0170529829868018,success
E01000957,12.1966289580539,0.0121966289580539,7601.109797584399,12196.628958053938,12.0,18.0,1422.1692941085455,80.57416365880958,1.0410338771455026,success
E01000958,10.9838459790979,0.0109838459790979,8724.087424374626,10983.84597909797,22.0,35.0,2680.845960602215,78.86306846564946,1.0066941096704216,success
E01000959,0.05078479240630842,5.078479240630842e-05,50.78479240630841,50.78479240630841,2.0,1.0,3.70477849869749,3.70477849869749,1.0,success
E01000960,10.7214955677799,0.0107214955677799,7826.901780626825,10721.495567779924,17.0,23.0,1236.828059649797,50.161595051958585,1.0138062964639154,success
E01000961,21.5009879087919,0.0215009879087919,13030.471581584325,21500.98790879196,24.0,38.0,2609.346802286894,56.47750349547221,1.025240313990077,success
E01000962,3.7271203436179,0.0037271203436179,2997.268384672762,3727.120343617988,5.0,6.0,354.1582054452236,71.2015641090746,1.0021770215730803,success
E01000963,12.6607856680583,0.0126607856680583,9137.593663494388,12660.785668058385,22.0,32.0,2424.1032156030374,64.79754148343672,1.0186629702048462,success
E01000964,4.9322414393144,0.0049322414393144,3763.985904171853,4932.241439314475,4.0,4.0,613.4393370311559,156.046498403014,1.0262387928714554,success
