lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd,data_source,density_category
E01001578,0,NA,NA,NA,NA,NA,imputed,Very High
E01001579,0,NA,NA,NA,NA,NA,imputed,Very High
E01001580,0,NA,NA,NA,NA,NA,imputed,Very High
E01001581,0,NA,NA,NA,NA,NA,imputed,Very High
E01001582,0,NA,NA,NA,NA,NA,imputed,Very High
E01001583,0,NA,NA,NA,NA,NA,imputed,Very High
E01001584,0,NA,NA,NA,NA,NA,imputed,Very High
E01001585,0,NA,NA,NA,NA,NA,imputed,Very High
E01001586,0,NA,NA,NA,NA,NA,imputed,Very High
E01001587,0,NA,NA,NA,NA,NA,imputed,Very High
E01001588,0,NA,NA,NA,NA,NA,imputed,Very High
E01001589,0,NA,NA,NA,NA,NA,imputed,Very High
E01001590,0,NA,NA,NA,NA,NA,imputed,Very High
E01001591,0,NA,NA,NA,NA,NA,imputed,Very High
E01001592,0,NA,NA,NA,NA,NA,imputed,Very High
E01001593,0,NA,NA,NA,NA,NA,imputed,Very High
E01001594,0,NA,NA,NA,NA,NA,imputed,Very High
E01001595,0,NA,NA,NA,NA,NA,imputed,Very High
E01001596,0,NA,NA,NA,NA,NA,imputed,Very High
E01001597,0,NA,NA,NA,NA,NA,imputed,Very High
E01001598,0,NA,NA,NA,NA,NA,imputed,Very High
E01001599,0,NA,NA,NA,NA,NA,imputed,Very High
E01001600,0,NA,NA,NA,NA,NA,imputed,Very High
E01001601,0,NA,NA,NA,NA,NA,imputed,Very High
E01001602,0,NA,NA,NA,NA,NA,imputed,Very High
E01001603,0,NA,NA,NA,NA,NA,imputed,Very High
E01001604,0,NA,NA,NA,NA,NA,imputed,Very High
E01001605,0,NA,NA,NA,NA,NA,imputed,Very High
E01001606,0,NA,NA,NA,NA,NA,imputed,Very High
E01001607,0,NA,NA,NA,NA,NA,imputed,Very High
E01001608,0,NA,NA,NA,NA,NA,imputed,Very High
E01001609,0,NA,NA,NA,NA,NA,imputed,Very High
E01001610,0,NA,NA,NA,NA,NA,imputed,Very High
E01001611,0,NA,NA,NA,NA,NA,imputed,Very High
E01001613,0,NA,NA,NA,NA,NA,imputed,Very High
E01001614,0,NA,NA,NA,NA,NA,imputed,Very High
E01001615,0,NA,NA,NA,NA,NA,imputed,Very High
E01001617,0,NA,NA,NA,NA,NA,imputed,Very High
E01001618,0,NA,NA,NA,NA,NA,imputed,Very High
E01001619,0,NA,NA,NA,NA,NA,imputed,Very High
E01001620,0,NA,NA,NA,NA,NA,imputed,Very High
E01001621,0,NA,NA,NA,NA,NA,imputed,Very High
E01001623,0,NA,NA,NA,NA,NA,imputed,Very High
E01001624,0,NA,NA,NA,NA,NA,imputed,Very High
E01001625,0,NA,NA,NA,NA,NA,imputed,Very High
E01001629,0,NA,NA,NA,NA,NA,imputed,Very High
E01001631,0,NA,NA,NA,NA,NA,imputed,Very High
E01001632,0,NA,NA,NA,NA,NA,imputed,Very High
E01001633,0,NA,NA,NA,NA,NA,imputed,Very High
E01001634,0,NA,NA,NA,NA,NA,imputed,Very High
E01001635,0,NA,NA,NA,NA,NA,imputed,Very High
E01001636,0,NA,NA,NA,NA,NA,imputed,Very High
E01001637,0,NA,NA,NA,NA,NA,imputed,Very High
E01001638,0,NA,NA,NA,NA,NA,imputed,Very High
E01001640,0,NA,NA,NA,NA,NA,imputed,Very High
E01001641,0,NA,NA,NA,NA,NA,imputed,Very High
E01001642,0,NA,NA,NA,NA,NA,imputed,Very High
E01001644,0,NA,NA,NA,NA,NA,imputed,Very High
E01001645,0,NA,NA,NA,NA,NA,imputed,Very High
E01001646,0,NA,NA,NA,NA,NA,imputed,Very High
E01001647,0,NA,NA,NA,NA,NA,imputed,Very High
E01001648,0,NA,NA,NA,NA,NA,imputed,Very High
E01001649,0,NA,NA,NA,NA,NA,imputed,Very High
