lsoa_code,borough,imd_score,imd_quintile,lsoa_name,ptal_score,ptal_category,ptal_original,accessibility_index,ai_median,ai_min,ai_max,data_source,ptal_score_z,ai_z
E01001946,Hammersmith and Fulham,21.955,Q3,Hammersmith and Fulham 004D,5,Very Good,5,23.7085778035,22.8252253142,11.405707005,39.0336793436,measured,0.6462057355992847,0.27610477900309793
E01001947,Hammersmith and Fulham,37.614,Q5_Most,Hammersmith and Fulham 021A,4,Good,4,16.2919739018,16.2565021144,14.6669992154,17.9878921631,measured,0.0016546181840391264,-0.2745827987221767
E01001948,Hammersmith and Fulham,14.586,Q2,Hammersmith and Fulham 021B,3,Moderate,3,12.7300034062,12.3313714223,11.0731991697,15.347348196,measured,-0.6428964992312065,-0.5390613835500986
E01001949,Hammersmith and Fulham,8.026,Q1_Least,Hammersmith and Fulham 021C,3,Moderate,3,11.4196744308,11.6034935777,7.16319207187,14.5276460758,measured,-0.6428964992312065,-0.6363541470642547
E01001950,Hammersmith and Fulham,9.705,Q1_Least,Hammersmith and Fulham 021D,4,Good,4,15.714063575599999,16.5592418075,11.8704981775,17.9138441417,measured,0.0016546181840391264,-0.31749300963482285
E01001951,Hammersmith and Fulham,17.389,Q2,Hammersmith and Fulham 021E,3,Moderate,3,13.438723847,14.5504856198,10.7751085402,15.7928288441,measured,-0.6428964992312065,-0.48643843806165443
E01001952,Hammersmith and Fulham,15.715,Q2,Hammersmith and Fulham 024D,5,Very Good,5,24.3846618471,24.9552595079,16.9196972283,31.3300148051,measured,0.6462057355992847,0.32630445115000245
E01001953,Hammersmith and Fulham,22.092,Q3,Hammersmith and Fulham 021F,4,Good,4,19.1871547638,19.5919909688,15.3098572098,23.5040145098,measured,0.0016546181840391264,-0.05961377016101743
E01001954,Hammersmith and Fulham,27.358,Q3,Hammersmith and Fulham 003A,3,Moderate,3,11.6831363759,11.6167528289,7.68235367462,17.3939240165,measured,-0.6428964992312065,-0.616791929330522
E01001955,Hammersmith and Fulham,37.986,Q5_Most,Hammersmith and Fulham 002A,2,Poor,2,9.082236357,8.153977413,3.41595424661,18.7630995265,measured,-1.2874476166464521,-0.8099104172931002
E01001956,Hammersmith and Fulham,27.284,Q3,Hammersmith and Fulham 003B,3,Moderate,3,12.4146862114,12.4813664101,9.54890807865,16.9757584998,measured,-0.6428964992312065,-0.5624738867012699
