lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01004530,0.015437159170926295,7718.579585463147,15437.159170926294,6,10,2066.3929995012363,206.63929995012364,1.0012740915601193,success
E01004531,0.0014672512161929849,733.6256080964926,1467.2512161929849,3,4,122.83225246027783,30.70806311506946,1.0,success
E01004532,0.006485156688989301,3242.578344494651,6485.156688989301,5,8,583.9425908056334,72.99282385070418,1.0000515144187947,success
E01004533,0.016639082782472038,8319.541391236018,16639.08278247204,8,18,1483.9568887428784,82.44204937460434,1.0005398749695154,success
E01004534,0.013417455112154782,7324.0841931822015,13417.455112154783,23,50,3451.250650625246,69.77436846992957,1.0425712527153663,success
E01004535,0.013253774000733281,6626.887000366641,13253.774000733281,6,10,1022.6648812755956,102.26648812755955,1.195895453124585,success
E01004536,0.00996313264702117,4981.566323510583,9963.132647021172,13,26,1495.3675116759318,57.51413506445889,1.009250091264332,success
E01004537,0.020006132626163985,11749.042306357294,20006.132626163984,17,34,2335.138722777863,68.5680839915306,1.08500751657826,success
E01004538,0.03203188363094823,17174.787023134024,32031.883630948225,46,87,3669.628415015657,42.77333769939385,1.047246195622273,success
E01004539,0.009243832238483225,4621.916119241612,9243.832238483225,9,16,1251.5275065595683,78.22046915997302,1.0000819402987524,success
E01004540,0.022658923071394454,12084.635732180748,22658.923071394453,31,58,3147.999155976549,52.466117549645574,1.0272672136371346,success
E01004541,0.02170766757902905,10853.833789514525,21707.66757902905,15,28,2052.4325747894623,73.30116338533794,1.1999924039129093,success
E01004542,0.021702468712617873,10851.23435630894,21702.468712617876,14,30,2842.339544804444,94.74465149348148,1.0160466662634522,success
E01004543,0.014991688024075417,7495.844012037709,14991.688024075416,13,26,3131.502562189936,120.44240623807447,1.0108889700741708,success
E01004544,0.02549744587619868,12748.72293809934,25497.44587619868,13,28,2632.5739811616145,94.02049932720051,1.0013344140202307,success
E01004545,0.00799124369549164,3995.62184774582,7991.24369549164,9,16,1165.7358127829796,72.85848829893622,1.0020595766129834,success
E01004546,0.01273958950894229,6369.794754471145,12739.58950894229,8,14,1173.810882285508,83.84363444896485,1.0089123763552836,success
E01004547,0.01653713814473114,8435.900876216303,16537.13814473114,16,30,1914.2405682611466,61.030601039288605,1.0948905512267824,success
E01004548,0.008528519254262764,4264.259627131381,8528.519254262763,9,18,1399.6169572795673,77.75649762664263,1.2896210973902378,success
E01004549,0.012233099289685606,8980.059872654008,12233.099289685606,15,26,1519.8469323235925,65.6286788064605,1.0036843192300124,success
E01004550,0.016796238735863223,8398.119367931611,16796.238735863222,12,26,2404.8035539195125,92.49244438151972,1.1294250854151753,success
E01004551,0.013764571108496512,8411.2766496249,13764.571108496511,23,42,2940.3896592214237,66.54881952734597,1.0624270701123983,success
E01004552,0.017845942055036052,9073.313044948707,17845.942055036052,16,31,1930.1793312839893,61.33439625805318,1.0364736536630608,success
E01004553,0.014797169582685754,8724.070307419408,14797.169582685754,21,40,2940.6813772593164,75.38078244882702,1.0048271551030827,success
E01004554,0.00886650955373695,5750.500481406509,8866.50955373695,33,51,3597.203234391454,63.05451781623471,1.0151570438358204,success
E01004555,0.021547064584712252,10773.53229235612,21547.06458471225,14,34,2998.9071293279694,88.2031508625873,1.0058768529716304,success
E01004556,0.028457916290112382,14228.958145056196,28457.916290112382,15,34,2861.7732897699857,84.16980264029372,1.0009325993860043,success
E01004557,0.021512066376418185,10756.033188209096,21512.066376418185,15,30,2336.911336233459,77.89704454111533,1.0935141258314287,success
E01004558,0.012405967474321006,6202.983737160502,12405.967474321005,20,40,2781.3059889207234,69.53264972301807,1.0014256437706235,success
E01004559,0.005957645737945213,2978.822868972607,5957.645737945213,6,12,1057.0169088662067,88.08474240551725,1.0974167037943705,success
E01004560,0.005055495481472272,2848.451442090958,5055.495481472272,17,34,3516.375821692758,104.2765797811684,1.0216391161451512,success
E01004562,0.018395179646764497,12035.367127850977,18395.179646764496,66,121,12233.275479392018,89.93071743833968,1.0865190290476625,success
E01004563,0.012631448989555186,6584.674688845833,12631.448989555185,19,37,1929.0806715186322,50.28072662524275,1.0705488532105412,success
E01004564,0.010716248710200311,5817.594723158078,10716.24871020031,27,52,4110.391601323082,74.38110460926852,1.0595407896326465,success
E01004565,0.021547898126853815,10773.949063426906,21547.898126853815,10,20,1875.679630687659,93.78398153438293,1.0120508536506967,success
E01004566,0.017955018369268938,10231.457389170526,17955.01836926894,14,21,1712.538839670935,65.05801629766913,1.0076810845462625,success
E01004567,0.0,,,0,0,0.0,,,error: Graph contains no edges.
E01004568,0.0006417146022567867,320.8573011283934,641.7146022567867,2,2,144.44419796573584,72.22209898286792,1.0239608920776735,success
E01004569,0.0158544314651661,8386.148405707097,15854.431465166097,27,51,4602.354504364037,90.16296280053847,1.0734092500227825,success
E01004570,0.026185837189354993,13092.918594677492,26185.837189354996,16,34,3067.2560464488647,90.21341313084893,1.096248775420279,success
E01004571,0.025817190127904257,12908.595063952127,25817.190127904258,28,54,3156.1482678007897,58.44719014445906,1.0036747869757172,success
E01004572,0.01024212005148426,5597.670660860638,10242.12005148426,37,73,8031.762193624418,109.74085287094866,1.0738246094226749,success
E01004573,0.005301162620875412,4105.2361994995,5301.162620875411,47,76,8890.16973383685,125.17407362447267,1.0493353214653154,success
E01004574,0.004346913643688229,2321.195820092826,4346.913643688228,10,17,926.3171224090597,54.96015510116618,1.0067795096719048,success
