lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01004523,Wandsworth 036E,Wandsworth,19.06,Q2,80,50.855255126953125,55.1177978515625,25.034672572021723,0.0,93.84765625,34.344482421875,71.5728759765625,completed,measured
E01004524,Wandsworth 037D,Wandsworth,35.049,Q5_Most,80,53.85894775390625,58.65478515625,24.483705191421155,0.0,98.7060546875,35.85968017578125,73.211669921875,completed,measured
E01004525,Wandsworth 035A,Wandsworth,21.561,Q3,38,1.2809351870888157,0.2288818359375,2.1768422405286376,0.0,8.70361328125,0.05035400390625,1.75323486328125,completed,measured
E01004526,Wandsworth 035B,Wandsworth,22.8,Q3,37,3.2474002322635136,0.32958984375,5.39330203945049,0.0,21.563720703125,0.067138671875,3.582763671875,completed,measured
E01004527,Wandsworth 035C,Wandsworth,15.258,Q2,1,11.532554610498396,11.532554610498396,8.0,0.0,26.532554610498394,6.532554610498396,16.532554610498394,insufficient,predicted
E01004528,Wandsworth 035D,Wandsworth,28.667,Q4,3,11.570536860909176,11.570536860909176,8.0,0.0,26.570536860909176,6.570536860909176,16.570536860909176,insufficient,predicted
E01004529,Wandsworth 035E,Wandsworth,13.45,Q1_Least,0,17.23424571271678,17.23424571271678,8.0,2.234245712716781,32.234245712716785,12.234245712716781,22.23424571271678,no_data,predicted
E01004530,Wandsworth 035F,Wandsworth,15.181,Q2,22,13.934843311692918,13.934843311692918,8.0,0.0,28.934843311692916,8.934843311692918,18.934843311692916,insufficient,predicted
E01004531,Wandsworth 033A,Wandsworth,25.305,Q3,36,2.012464735243056,0.1312255859375,3.975523810702037,0.0,15.39306640625,0.0091552734375,1.654052734375,completed,measured
E01004532,Wandsworth 032A,Wandsworth,16.141,Q2,0,12.055945272098034,12.055945272098034,8.0,0.0,27.055945272098036,7.055945272098034,17.055945272098036,no_data,predicted
E01004533,Wandsworth 033B,Wandsworth,27.038,Q3,3,10.55487060441016,10.55487060441016,8.0,0.0,25.554870604410162,5.55487060441016,15.55487060441016,insufficient,predicted
E01004534,Wandsworth 008A,Wandsworth,13.523,Q1_Least,80,15.558929443359377,9.6221923828125,19.10828448653136,0.0,81.903076171875,2.32391357421875,19.70367431640625,completed,measured
E01004535,Wandsworth 007A,Wandsworth,37.698,Q5_Most,80,14.409713745117188,13.3392333984375,11.157110659948888,0.0,51.409912109375,6.781005859375,20.697021484375,completed,measured
E01004536,Wandsworth 008B,Wandsworth,23.52,Q3,80,19.561309814453125,10.894775390625,22.477374029023967,0.0,89.22119140625,2.984619140625,26.678466796875,completed,measured
E01004537,Wandsworth 007B,Wandsworth,33.441,Q4,80,7.690887451171875,1.800537109375,13.249397993434403,0.0,77.813720703125,0.0457763671875,10.43853759765625,completed,measured
