lsoa_code,borough,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,imd_score,imd_quintile,status,timestamp
E01000858,Camden,80,11.36,11.36,10.0,-3.6400000000000006,26.36,6.359999999999999,16.36,37.66,Q5_Most,completed,2025-08-09 22:49:41
E01000859,Camden,80,14.56,14.56,10.0,-0.4399999999999995,29.560000000000002,9.56,19.560000000000002,7.224,Q1_Least,completed,2025-08-09 22:50:04
E01000860,Camden,80,26.89,26.89,10.0,11.89,41.89,21.89,31.89,17.703,Q3,completed,2025-08-09 22:50:25
E01000861,Camden,80,11.42,11.42,10.0,-3.58,26.42,6.42,16.42,33.498,Q5_Most,completed,2025-08-09 22:50:51
E01000862,Camden,80,15.52,15.52,10.0,0.5199999999999996,30.52,10.52,20.52,10.864,Q2,completed,2025-08-09 22:51:14
E01000863,Camden,80,6.69,6.69,10.0,-8.309999999999999,21.69,1.6900000000000004,11.690000000000001,34.37,Q5_Most,completed,2025-08-09 22:51:36
E01000864,Camden,80,8.33,8.33,10.0,-6.67,23.33,3.33,13.33,17.932,Q3,completed,2025-08-09 22:52:01
E01000866,Camden,80,11.43,11.43,10.0,-3.5700000000000003,26.43,6.43,16.43,22.434,Q3,completed,2025-08-09 22:52:23
E01000867,Camden,80,13.54,13.54,10.0,-1.4600000000000009,28.54,8.54,18.54,28.4,Q4,completed,2025-08-09 22:52:43
E01000868,Camden,80,6.51,6.51,10.0,-8.49,21.509999999999998,1.5099999999999998,11.51,39.291,Q5_Most,completed,2025-08-09 22:53:05
E01000869,Camden,80,10.22,10.22,10.0,-4.779999999999999,25.22,5.220000000000001,15.22,22.144,Q3,completed,2025-08-09 22:53:28
E01000870,Camden,80,9.72,9.72,10.0,-5.279999999999999,24.72,4.720000000000001,14.72,26.832,Q4,completed,2025-08-09 22:53:49
E01000872,Camden,80,24.11,24.11,10.0,9.11,39.11,19.11,29.11,24.312,Q4,completed,2025-08-09 22:54:05
E01000875,Camden,80,33.85,33.85,10.0,18.85,48.85,28.85,38.85,21.838,Q3,completed,2025-08-09 22:54:19
E01000876,Camden,80,43.64,43.64,10.0,28.64,58.64,38.64,48.64,29.94,Q4,completed,2025-08-09 22:54:31
E01000882,Camden,80,34.51,34.51,10.0,19.509999999999998,49.51,29.509999999999998,39.51,4.319,Q1_Least,completed,2025-08-09 22:54:43
E01000884,Camden,80,19.44,19.44,10.0,4.440000000000001,34.44,14.440000000000001,24.44,5.273,Q1_Least,completed,2025-08-09 22:54:59
E01000885,Camden,80,31.13,31.13,10.0,16.13,46.129999999999995,26.13,36.129999999999995,7.027,Q1_Least,completed,2025-08-09 22:55:10
E01000886,Camden,80,17.12,17.12,10.0,2.120000000000001,32.120000000000005,12.120000000000001,22.12,9.126,Q1_Least,completed,2025-08-09 22:55:31
E01000887,Camden,80,19.34,19.34,10.0,4.34,34.34,14.34,24.34,13.063,Q2,completed,2025-08-09 22:55:52
E01000888,Camden,80,17.56,17.56,10.0,2.5599999999999987,32.56,12.559999999999999,22.56,14.584,Q2,completed,2025-08-09 22:56:13
E01000889,Camden,80,12.6,12.6,10.0,-2.4000000000000004,27.6,7.6,17.6,30.868,Q4,completed,2025-08-09 22:56:35
E01000890,Camden,80,14.39,14.39,10.0,-0.6099999999999994,29.39,9.39,19.39,40.883,Q5_Most,completed,2025-08-09 22:56:55
E01000891,Camden,80,14.21,14.21,10.0,-0.7899999999999991,29.21,9.21,19.21,38.283,Q5_Most,completed,2025-08-09 22:57:10
E01000892,Camden,80,19.61,19.61,10.0,4.609999999999999,34.61,14.61,24.61,15.799,Q2,completed,2025-08-09 22:57:25
E01000893,Camden,80,55.41,55.41,10.0,40.41,70.41,50.41,60.41,5.314,Q1_Least,completed,2025-08-09 22:57:49
E01000894,Camden,80,30.82,30.82,10.0,15.82,45.82,25.82,35.82,6.601,Q1_Least,completed,2025-08-09 22:58:10
E01000897,Camden,80,32.16,32.16,10.0,17.159999999999997,47.16,27.159999999999997,37.16,5.398,Q1_Least,completed,2025-08-09 22:58:30
E01000898,Camden,80,28.15,28.15,10.0,13.149999999999999,43.15,23.15,33.15,11.81,Q2,completed,2025-08-09 22:58:45
E01000899,Camden,80,40.54,40.54,10.0,25.54,55.54,35.54,45.54,5.971,Q1_Least,completed,2025-08-09 22:59:08
E01000900,Camden,80,14.73,14.73,10.0,-0.2699999999999996,29.73,9.73,19.73,26.042,Q4,completed,2025-08-09 22:59:33
E01000901,Camden,80,16.7,16.7,10.0,1.6999999999999993,31.7,11.7,21.7,30.351,Q4,completed,2025-08-09 22:59:53
E01000902,Camden,80,12.47,12.47,10.0,-2.5299999999999994,27.47,7.470000000000001,17.47,36.241,Q5_Most,completed,2025-08-09 23:00:17
E01000903,Camden,80,14.27,14.27,10.0,-0.7300000000000004,29.27,9.27,19.27,18.925,Q3,completed,2025-08-09 23:00:30
E01000904,Camden,80,13.87,13.87,10.0,-1.1300000000000008,28.869999999999997,8.87,18.869999999999997,24.584,Q4,completed,2025-08-09 23:00:52
E01000905,Camden,80,11.38,11.38,10.0,-3.619999999999999,26.380000000000003,6.380000000000001,16.380000000000003,38.075,Q5_Most,completed,2025-08-09 23:01:11
E01000906,Camden,80,12.64,12.64,10.0,-2.3599999999999994,27.64,7.640000000000001,17.64,10.421,Q1_Least,completed,2025-08-09 23:01:28
E01000907,Camden,80,21.92,21.92,10.0,6.920000000000002,36.92,16.92,26.92,33.796,Q5_Most,completed,2025-08-09 23:01:46
E01000908,Camden,80,30.7,30.7,10.0,15.7,45.7,25.7,35.7,27.211,Q4,completed,2025-08-09 23:02:07
E01000909,Camden,80,46.18,46.18,10.0,31.18,61.18,41.18,51.18,11.771,Q2,completed,2025-08-09 23:02:31
E01000910,Camden,80,29.85,29.85,10.0,14.850000000000001,44.85,24.85,34.85,9.73,Q1_Least,completed,2025-08-09 23:02:48
E01000911,Camden,80,17.06,17.06,10.0,2.0599999999999987,32.06,12.059999999999999,22.06,16.959,Q2,completed,2025-08-09 23:03:04
E01000913,Camden,80,47.1,47.1,10.0,32.1,62.1,42.1,52.1,9.279,Q1_Least,completed,2025-08-09 23:03:24
E01000914,Camden,80,8.74,8.74,10.0,-6.26,23.740000000000002,3.74,13.74,13.106,Q2,completed,2025-08-09 23:03:49
E01000916,Camden,80,2.28,2.28,10.0,-12.72,17.28,-2.72,7.279999999999999,19.491,Q3,completed,2025-08-09 23:04:14
E01000917,Camden,80,5.27,5.27,10.0,-9.73,20.27,0.2699999999999996,10.27,34.957,Q5_Most,completed,2025-08-09 23:04:39
E01000918,Camden,80,9.48,9.48,10.0,-5.52,24.48,4.48,14.48,20.684,Q3,completed,2025-08-09 23:05:00
E01000920,Camden,80,7.31,7.31,10.0,-7.69,22.31,2.3099999999999996,12.309999999999999,15.017,Q2,completed,2025-08-09 23:05:26
E01000921,Camden,80,10.63,10.63,10.0,-4.369999999999999,25.630000000000003,5.630000000000001,15.63,15.197,Q2,completed,2025-08-09 23:05:51
E01000923,Camden,80,13.38,13.38,10.0,-1.6199999999999992,28.380000000000003,8.38,18.380000000000003,19.37,Q3,completed,2025-08-09 23:06:12
E01000924,Camden,80,18.65,18.65,10.0,3.6499999999999986,33.65,13.649999999999999,23.65,13.294,Q2,completed,2025-08-09 23:06:35
E01000925,Camden,80,20.64,20.64,10.0,5.640000000000001,35.64,15.64,25.64,29.369,Q4,completed,2025-08-09 23:06:54
E01000926,Camden,80,12.96,12.96,10.0,-2.039999999999999,27.96,7.960000000000001,17.96,17.412,Q3,completed,2025-08-09 23:07:17
E01000927,Camden,80,7.25,7.25,10.0,-7.75,22.25,2.25,12.25,14.937,Q2,completed,2025-08-09 23:07:42
E01000928,Camden,80,8.46,8.46,10.0,-6.539999999999999,23.46,3.460000000000001,13.46,20.295,Q3,completed,2025-08-09 23:08:01
E01000931,Camden,80,3.06,3.06,10.0,-11.94,18.06,-1.94,8.06,34.552,Q5_Most,completed,2025-08-09 23:08:18
E01000932,Camden,80,11.2,11.2,10.0,-3.8000000000000007,26.2,6.199999999999999,16.2,20.043,Q3,completed,2025-08-09 23:08:32
E01000933,Camden,80,20.56,20.56,10.0,5.559999999999999,35.56,15.559999999999999,25.56,25.739,Q4,completed,2025-08-09 23:08:46
E01000934,Camden,80,29.99,29.99,10.0,14.989999999999998,44.989999999999995,24.99,34.989999999999995,35.446,Q5_Most,completed,2025-08-09 23:09:00
E01000935,Camden,80,21.81,21.81,10.0,6.809999999999999,36.81,16.81,26.81,32.327,Q5_Most,completed,2025-08-09 23:09:10
E01000936,Camden,80,6.29,6.29,10.0,-8.71,21.29,1.29,11.29,21.454,Q3,completed,2025-08-09 23:09:33
E01000938,Camden,80,10.65,10.65,10.0,-4.35,25.65,5.65,15.65,33.666,Q5_Most,completed,2025-08-09 23:09:58
E01000939,Camden,80,9.33,9.33,10.0,-5.67,24.33,4.33,14.33,39.074,Q5_Most,completed,2025-08-09 23:10:21
E01000940,Camden,80,11.08,11.08,10.0,-3.92,26.08,6.08,16.08,19.688,Q3,completed,2025-08-09 23:10:45
E01000941,Camden,80,10.86,10.86,10.0,-4.140000000000001,25.86,5.859999999999999,15.86,38.035,Q5_Most,completed,2025-08-09 23:11:08
E01000942,Camden,80,10.61,10.61,10.0,-4.390000000000001,25.61,5.609999999999999,15.61,15.339,Q2,completed,2025-08-09 23:11:33
E01000943,Camden,80,10.07,10.07,10.0,-4.93,25.07,5.07,15.07,19.812,Q3,completed,2025-08-09 23:11:54
E01000944,Camden,80,18.9,18.9,10.0,3.8999999999999986,33.9,13.899999999999999,23.9,22.702,Q3,completed,2025-08-09 23:12:18
E01000945,Camden,80,9.29,9.29,10.0,-5.710000000000001,24.29,4.289999999999999,14.29,29.491,Q4,completed,2025-08-09 23:12:46
E01000946,Camden,80,23.97,23.97,10.0,8.969999999999999,38.97,18.97,28.97,14.777,Q2,completed,2025-08-09 23:13:14
E01000947,Camden,80,14.28,14.28,10.0,-0.7200000000000006,29.28,9.28,19.28,24.682,Q4,completed,2025-08-09 23:13:38
E01000948,Camden,80,10.99,10.99,10.0,-4.01,25.990000000000002,5.99,15.99,28.939,Q4,completed,2025-08-09 23:13:56
E01000950,Camden,80,11.14,11.14,10.0,-3.8599999999999994,26.14,6.140000000000001,16.14,39.726,Q5_Most,completed,2025-08-09 23:14:16
E01000951,Camden,80,10.39,10.39,10.0,-4.609999999999999,25.39,5.390000000000001,15.39,34.249,Q5_Most,completed,2025-08-09 23:14:32
E01000952,Camden,80,21.84,21.84,10.0,6.84,36.84,16.84,26.84,33.388,Q5_Most,completed,2025-08-09 23:14:55
E01000953,Camden,80,9.91,9.91,10.0,-5.09,24.91,4.91,14.91,37.205,Q5_Most,completed,2025-08-09 23:15:26
E01000954,Camden,80,14.36,14.36,10.0,-0.6400000000000006,29.36,9.36,19.36,34.893,Q5_Most,completed,2025-08-09 23:15:47
E01000955,Camden,80,14.02,14.02,10.0,-0.9800000000000004,29.02,9.02,19.02,33.231,Q5_Most,completed,2025-08-09 23:16:11
E01000956,Camden,80,11.77,11.77,10.0,-3.2300000000000004,26.77,6.77,16.77,33.601,Q5_Most,completed,2025-08-09 23:16:30
E01000957,Camden,80,13.77,13.77,10.0,-1.2300000000000004,28.77,8.77,18.77,26.314,Q4,completed,2025-08-09 23:16:53
E01000958,Camden,80,16.13,16.13,10.0,1.129999999999999,31.13,11.129999999999999,21.13,24.531,Q4,completed,2025-08-09 23:17:13
E01000959,Camden,80,13.36,13.36,10.0,-1.6400000000000006,28.36,8.36,18.36,39.028,Q5_Most,completed,2025-08-09 23:17:34
E01000961,Camden,80,20.69,20.69,10.0,5.690000000000001,35.69,15.690000000000001,25.69,22.612,Q3,completed,2025-08-09 23:17:52
E01000962,Camden,80,26.91,26.91,10.0,11.91,41.91,21.91,31.91,6.05,Q1_Least,completed,2025-08-09 23:18:05
