lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile,__order
E01002707,100,20.14453125,20.30029297,16.10783577,0,63.77563477,2.433776855,27.90679932,17.21620393,2025-08-09T19:33:55.718588,Islington,25.684,Q3,20250809_193511
E01002723,100,33.15722656,37.6953125,17.53923988,1.135253906,67.02880859,18.12133789,45.87249756,15.76085401,2025-08-09T19:50:51.923458,Islington,28.536,Q4,20250809_195054
E01002725,100,20.1015625,10.9161377,20.37681007,0,68.75610352,3.219604492,32.48596191,19.60794663,2025-08-09T19:04:47.894233,Islington,29.084,Q4,20250809_190508
E01002727,100,34.05657959,31.94885254,25.08612251,0,92.66357422,12.07122803,51.80969238,19.47940016,2025-08-09T19:04:11.505445,Islington,26.051,Q3,20250809_190508
E01002728,100,17.16760254,9.1796875,17.42246437,0,71.02661133,1.817321777,30.35736084,20.57159376,2025-08-09T19:27:45.639198,Islington,27.235,Q3,20250809_192845
E01002730,100,6.87487793,2.017211914,10.52311611,0,47.88818359,0.442504883,7.891845703,18.97913337,2025-08-09T19:28:06.004549,Islington,30.4,Q4,20250809_192845
E01002735,100,9.826171875,5.444335938,13.30327225,0,63.31176758,1.46484375,11.96594238,22.04227972,2025-08-09T19:31:39.270510,Islington,33.51,Q4,20250809_193222
E01002738,100,24.30200195,20.5657959,18.69041061,0,84.11254883,11.5814209,32.2479248,19.80754924,2025-08-09T19:44:08.165658,Islington,24.682,Q3,20250809_194428
E01002742,100,8.082458496,4.901123047,9.029076576,0,38.79394531,1.095581055,12.28485107,15.99785614,2025-08-09T19:33:23.149412,Islington,15.801,Q2,20250809_193511
E01002747,80,7.728729248,5.526733398,7.600649834,0,30.86547852,1.39465332,11.80114746,18.45523405,2025-08-09T20:37:12.529030,Islington,13.325,Q1_Least,20250809_203811
E01002749,100,5.798339844,3.884887695,6.339261055,0,30.45654297,0.917053223,8.540344238,13.08865333,2025-08-09T19:45:24.642550,Islington,22.829,Q3,20250809_194548
E01002752,100,16.09838867,14.99938965,14.29309654,0,47.65625,1.420593262,29.5791626,11.97332239,2025-08-09T19:46:57.253083,Islington,22.426,Q3,20250809_194731
E01002756,100,45.69036484,48.28796387,18.90888023,0,85.02807617,36.81945801,58.03222656,18.3670752,2025-08-09T19:47:28.914503,Islington,27.776,Q4,20250809_194731
