lsoa_code,image_id,gvi,method,model,vegetation_pixels,total_pixels,timestamp
E01002714,849545499905413,42.4830436706543,deeplearning,segformer,1336401,3145728,2025-08-02T00:19:57.862263
E01002714,783317856032121,8.110523223876953,deeplearning,segformer,255135,3145728,2025-08-02T00:19:59.225469
E01002714,633130845602841,0.03712972005208333,deeplearning,segformer,1168,3145728,2025-08-02T00:20:00.556825
E01002714,461978235747016,24.635378519694008,deeplearning,segformer,774962,3145728,2025-08-02T00:20:01.898030
E01002714,623770678896444,23.947620391845703,deeplearning,segformer,753327,3145728,2025-08-02T00:20:03.253837
E01002714,1460853578033793,14.280001322428385,deeplearning,segformer,449210,3145728,2025-08-02T00:20:04.578788
E01002714,391319859765263,16.63405100504557,deeplearning,segformer,523262,3145728,2025-08-02T00:20:05.921417
E01002714,981967976187974,4.782454172770182,deeplearning,segformer,150443,3145728,2025-08-02T00:20:07.249434
E01002714,1153557799382952,0.5186080932617188,deeplearning,segformer,16314,3145728,2025-08-02T00:20:08.591673
E01002714,660735123443699,11.950540542602539,deeplearning,segformer,250621,2097152,2025-08-02T00:20:09.678094
E01002714,5949166288517152,18.658479054768883,deeplearning,segformer,586945,3145728,2025-08-02T00:20:11.030403
E01002714,1100486184207308,11.044470469156902,deeplearning,segformer,347429,3145728,2025-08-02T00:20:12.436543
E01002714,550296540117580,15.163358052571615,deeplearning,segformer,476998,3145728,2025-08-02T00:20:13.873315
E01002714,1014983472886298,7.5552622477213545,deeplearning,segformer,237668,3145728,2025-08-02T00:20:15.251757
E01002714,397936425653841,24.256833394368492,deeplearning,segformer,763054,3145728,2025-08-02T00:20:16.611685
E01002714,345361841250653,0.031948089599609375,deeplearning,segformer,1005,3145728,2025-08-02T00:20:17.996311
E01002714,848316236108478,18.388790554470486,deeplearning,segformer,433846,2359296,2025-08-02T00:20:19.273701
E01002714,3792676377494847,5.557759602864584,deeplearning,segformer,174832,3145728,2025-08-02T00:20:20.696378
E01002714,2901276270177887,15.2558962504069,deeplearning,segformer,479909,3145728,2025-08-02T00:20:22.128576
E01002714,544479098495524,8.564186096191406,deeplearning,segformer,179604,2097152,2025-08-02T00:20:23.334128
E01002714,4142281882506246,25.757408142089844,deeplearning,segformer,810258,3145728,2025-08-02T00:20:24.816723
E01002714,725057225277583,25.388590494791668,deeplearning,segformer,798656,3145728,2025-08-02T00:20:26.205216
E01002714,309460057240826,6.450303395589192,deeplearning,segformer,202909,3145728,2025-08-02T00:20:27.540846
E01002714,635797515308766,28.909651438395183,deeplearning,segformer,909419,3145728,2025-08-02T00:20:28.872678
E01002714,813550632599029,23.533842298719616,deeplearning,segformer,555233,2359296,2025-08-02T00:20:30.032676
E01002714,1087686972149631,21.096293131510414,deeplearning,segformer,663632,3145728,2025-08-02T00:20:31.393500
E01002714,593940338999123,17.130215962727867,deeplearning,segformer,538870,3145728,2025-08-02T00:20:32.724469
E01002714,1154253278423531,2.553219265407986,deeplearning,segformer,60238,2359296,2025-08-02T00:20:33.861995
E01002714,409948027773014,4.790019989013672,deeplearning,segformer,150681,3145728,2025-08-02T00:20:35.187029
