id,longitude,latitude,captured_at,captured_date,captured_year,compass_angle,height,width,lsoa_code,lsoa_name,borough,downloaded,imd_quintile
2191118531332556,-0.1709747,51.5485954,1750097336000,2025-06-16T18:08:56Z,2025,36.826,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1090542322995774,-0.1753663,51.54537,1750097682000,2025-06-16T18:14:42Z,2025,155.674,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1244949490641809,-0.1755986,51.5460376,1750097664000,2025-06-16T18:14:24Z,2025,208.403,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
4112492622410190,-0.1739671,51.5469766,1750097628000,2025-06-16T18:13:48Z,2025,209.088,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1212511833952298,-0.1719954,51.5479523,1750097318000,2025-06-16T18:08:38Z,2025,40.954,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
3957773031153614,-0.1713464,51.549502,1750097366000,2025-06-16T18:09:26Z,2025,32.946,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
677128815197119,-0.1755322,51.5456022,1750097676000,2025-06-16T18:14:36Z,2025,158.88,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1755603855164281,-0.1744801,51.5466813,1750097638000,2025-06-16T18:13:58Z,2025,241.34,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
754395203609823,-0.1711179,51.5496673,1750097384000,2025-06-16T18:09:44Z,2025,53.641,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1391426255243060,-0.1710078,51.5497177,1750097386000,2025-06-16T18:09:46Z,2025,54.098,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1775252410078639,-0.1743615,51.5467275,1750097636000,2025-06-16T18:13:56Z,2025,237.937,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1217272979646217,-0.175366,51.5461894,1750097658000,2025-06-16T18:14:18Z,2025,228.088,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
24287922210800296,-0.1710902,51.5488797,1750097344000,2025-06-16T18:09:04Z,2025,325.744,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
3029244847232434,-0.1718,51.5475214,1750097302000,2025-06-16T18:08:22Z,2025,295.427,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1019076123322660,-0.1710765,51.5485303,1750097334000,2025-06-16T18:08:54Z,2025,44.199,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
2173030709842018,-0.1720412,51.5475883,1750097306000,2025-06-16T18:08:26Z,2025,290.854,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1520682366007652,-0.1740037,51.5471367,1750097622000,2025-06-16T18:13:42Z,2025,160.455,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
986960330181361,-0.1711742,51.5489564,1750097346000,2025-06-16T18:09:06Z,2025,320.548,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
701177169432713,-0.1710545,51.5473105,1750097290000,2025-06-16T18:08:10Z,2025,295.718,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
568120459454310,-0.1712626,51.5490232,1750097348000,2025-06-16T18:09:08Z,2025,316.517,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
731485649817437,-0.1740836,51.550368,1750097576000,2025-06-16T18:12:56Z,2025,177.024,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
600899039217078,-0.174077,51.5499711,1750097582000,2025-06-16T18:13:02Z,2025,178.276,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
3974889159440834,-0.1715511,51.5482382,1750097326000,2025-06-16T18:08:46Z,2025,45.278,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1917396142408553,-0.1740478,51.5478056,1750097612000,2025-06-16T18:13:32Z,2025,180.695,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1414049903354295,-0.1718938,51.5480251,1750097320000,2025-06-16T18:08:40Z,2025,45.269,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
23985718737690644,-0.1712412,51.549639,1750097370000,2025-06-16T18:09:30Z,2025,327.5,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1050220670509973,-0.1740502,51.5479486,1750097610000,2025-06-16T18:13:30Z,2025,179.402,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
3142097492610229,-0.1721824,51.5477924,1750097314000,2025-06-16T18:08:34Z,2025,33.029,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1043752574564242,-0.172095,51.547876,1750097316000,2025-06-16T18:08:36Z,2025,39.068,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
2177575019331915,-0.1713051,51.5483855,1750097330000,2025-06-16T18:08:50Z,2025,44.304,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
3316407175188251,-0.1747295,51.5465761,1750097642000,2025-06-16T18:14:02Z,2025,233.197,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1408533797138075,-0.1714142,51.5494251,1750097364000,2025-06-16T18:09:24Z,2025,28.734,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
960648502704980,-0.1740713,51.5491363,1750097594000,2025-06-16T18:13:14Z,2025,179.081,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
744131484848329,-0.1709204,51.5487424,1750097340000,2025-06-16T18:09:00Z,2025,323.521,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1736670643875705,-0.1719238,51.547558,1750097304000,2025-06-16T18:08:24Z,2025,292.54,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
672506145783413,-0.1722225,51.5476435,1750097310000,2025-06-16T18:08:30Z,2025,350.843,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
2542922376048398,-0.1714262,51.5491093,1750097352000,2025-06-16T18:09:12Z,2025,290.824,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1385638969730220,-0.171587,51.5492197,1750097358000,2025-06-16T18:09:18Z,2025,25.299,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1220904396200372,-0.1754536,51.5461405,1750097660000,2025-06-16T18:14:20Z,2025,229.375,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
2087745494970713,-0.11738845552527,51.542896800545,1745313617799,2025-04-22T09:20:17Z,2025,181.97887289915,2048,4096,E01002714,Islington 017D,Islington,TRUE,1
1342824440305591,-0.11737542109546,51.543008041377,1745313616198,2025-04-22T09:20:16Z,2025,182.09517114298,2048,4096,E01002714,Islington 017D,Islington,TRUE,1
1044750170942371,-0.11738042145267,51.54311947821,1745313614463,2025-04-22T09:20:14Z,2025,182.37422064831,2048,4096,E01002714,Islington 017D,Islington,TRUE,1
1033755624323380,-0.1172941147809,51.541834573163,1694360067302,2023-09-10T15:34:27Z,2023,352.75117657098,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1965290270499766,-0.11674470494668,51.538748800292,1694359988676,2023-09-10T15:33:08Z,2023,355.96536207665,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1153557799382952,-0.11667580085171,51.538164080671,1694359979583,2023-09-10T15:32:59Z,2023,353.50869637781,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
239643941938889,-0.1171509018365,51.541099084183,1694360056184,2023-09-10T15:34:16Z,2023,352.95474660663,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
696292252315513,-0.11690629121321,51.53962178131,1694360010997,2023-09-10T15:33:30Z,2023,359.556927326,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
981967976187974,-0.11721271901033,51.541428982754,1694360061282,2023-09-10T15:34:21Z,2023,354.00550701087,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1345697383050394,-0.11706047819271,51.540379737465,1694360042840,2023-09-10T15:34:02Z,2023,356.59019354965,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1505462273325488,-0.11740635810449,51.542333150949,1694360076497,2023-09-10T15:34:36Z,2023,350.22632864117,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
228481859846398,-0.11678159554809,51.538956576037,1694359991945,2023-09-10T15:33:11Z,2023,354.11771617942,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
989254282122518,-0.11701861968775,51.540198343576,1694360021411,2023-09-10T15:33:41Z,2023,355.29264699848,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1460853578033793,-0.11746863545007,51.542573282962,1694360081374,2023-09-10T15:34:41Z,2023,351.25964583227,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1014983472886298,-0.1175498953684,51.543123577706,1694360113869,2023-09-10T15:35:13Z,2023,355.81216917583,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
210035658518999,-0.11695646524147,51.539888000991,1694360015290,2023-09-10T15:33:35Z,2023,355.3979137985,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1373875759875400,-0.11670483243525,51.538362369306,1694359983623,2023-09-10T15:33:03Z,2023,352.68518934759,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
564832169049807,-0.11711453937833,51.54078571978,1694360050890,2023-09-10T15:34:10Z,2023,354.69387766837,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
688029336154089,-0.11681255676122,51.539073469813,1694359995832,2023-09-10T15:33:15Z,2023,350.74166588607,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
619862776884106,-0.11748771752977,51.542793180141,1694360106913,2023-09-10T15:35:06Z,2023,359.31907556664,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1008472133523976,-0.11735458260947,51.542165165837,1694360073449,2023-09-10T15:34:33Z,2023,352.1757715756,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
677224500707657,-0.11709254860833,51.540550865426,1694360046863,2023-09-10T15:34:06Z,2023,353.31306436063,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
802226841909815,-0.11697239913437,51.54002613202,1694360017219,2023-09-10T15:33:37Z,2023,355.43035255545,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
849545499905413,-0.11682221156162,51.539227866872,1694360000874,2023-09-10T15:33:20Z,2023,357.94124332621,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
1272648926768225,-0.11674740771548,51.538583293021,1694359986726,2023-09-10T15:33:06Z,2023,355.5180235681,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
239520115274137,-0.11744453245927,51.542472147591,1694360079553,2023-09-10T15:34:39Z,2023,351.25964583227,3024,4032,E01002714,Islington 017D,Islington,TRUE,1
